timestamp,signal
1,NIL
2,NIL
3,NIL
4,NIL
5,NIL
6,NIL
7,NIL
8,NIL
9,NIL
10,NIL
11,NIL
12,NIL
13,NIL
14,NIL
15,NIL
16,NIL
17,NIL
18,NIL
19,NIL
20,NIL
21,VAMPIRE_BLOOD
22,NIL
23,NIL
24,NIL
25,ORBS
26,ELVEN_WINE
27,ORBS
28,PHOENIX_FEATHERS
29,ORBS
30,VAMPIRE_BLOOD
31,NIL
32,ORBS
33,VAMPIRE_BLOOD
34,NIL
35,NIL
36,NIL
37,NIL
38,NIL
39,NIL
40,NIL
41,NIL
42,NIL
43,NIL
44,NIL
45,NIL
46,NIL
47,ORBS
48,UNICORN_HORNS
49,ORBS
50,UNICORN_HORNS
51,NIL
52,ORBS
53,ELVEN_WINE
54,NIL
55,ORBS
56,PHOENIX_FEATHERS
57,NIL
58,ORBS
59,UNICORN_HORNS
60,NIL
61,NIL
62,NIL
63,NIL
64,NIL
65,NIL
66,NIL
67,NIL
68,NIL
69,NIL
70,NIL
71,NIL
72,NIL
73,NIL
74,NIL
75,ORBS
76,ELVEN_WINE
77,NIL
78,NIL
79,NIL
80,NIL
81,NIL
82,NIL
83,NIL
84,NIL
85,NIL
86,NIL
87,NIL
88,NIL
89,NIL
90,NIL
91,NIL
92,NIL
93,NIL
94,NIL
95,NIL
96,NIL
97,NIL
98,NIL
99,ORBS
100,VAMPIRE_BLOOD
101,NIL
102,NIL
103,NIL
104,NIL
105,NIL
106,NIL
107,NIL
108,NIL
109,NIL
110,NIL
111,NIL
112,NIL
113,NIL
114,NIL
115,NIL
116,NIL
117,NIL
118,NIL
119,NIL
120,NIL
121,NIL
122,NIL
123,NIL
124,NIL
125,NIL
126,NIL
127,NIL
128,NIL
129,NIL
130,ORBS
131,UNICORN_HORNS
132,NIL
133,NIL
134,NIL
135,NIL
136,NIL
137,NIL
138,NIL
139,ORBS
140,UNICORN_HORNS
141,NIL
142,ORBS
143,VAMPIRE_BLOOD
144,NIL
145,ORBS
146,UNICORN_HORNS
147,ORBS
148,VAMPIRE_BLOOD
149,NIL
150,NIL
151,NIL
152,NIL
153,NIL
154,NIL
155,NIL
156,ORBS
157,VAMPIRE_BLOOD
158,ORBS
159,ELVEN_WINE
160,NIL
161,NIL
162,ORBS
163,VAMPIRE_BLOOD
164,ORBS
165,ELVEN_WINE
166,NIL
167,ORBS
168,VAMPIRE_BLOOD
169,NIL
170,NIL
171,NIL
172,NIL
173,NIL
174,NIL
175,NIL
176,NIL
177,NIL
178,NIL
179,NIL
180,NIL
181,NIL
182,NIL
183,ORBS
184,ELVEN_WINE
185,NIL
186,NIL
187,NIL
188,NIL
189,NIL
190,NIL
191,NIL
192,NIL
193,NIL
194,NIL
195,NIL
196,NIL
197,NIL
198,NIL
199,NIL
200,NIL
201,NIL
202,ORBS
203,PHOENIX_FEATHERS
204,NIL
205,NIL
206,NIL
207,NIL
208,NIL
209,NIL
210,NIL
211,NIL
212,NIL
213,NIL
214,ORBS
215,PHOENIX_FEATHERS
216,NIL
217,NIL
218,ORBS
219,VAMPIRE_BLOOD
220,ORBS
221,PHOENIX_FEATHERS
222,NIL
223,ORBS
224,VAMPIRE_BLOOD
225,ORBS
226,ELVEN_WINE
227,NIL
228,NIL
229,NIL
230,NIL
231,NIL
232,NIL
233,NIL
234,ORBS
235,VAMPIRE_BLOOD
236,NIL
237,NIL
238,ORBS
239,ELVEN_WINE
240,NIL
241,ORBS
242,VAMPIRE_BLOOD
243,ORBS
244,VAMPIRE_BLOOD
245,NIL
246,NIL
247,NIL
248,NIL
249,NIL
250,NIL
251,NIL
252,NIL
253,NIL
254,NIL
255,NIL
256,NIL
257,NIL
258,NIL
259,NIL
260,NIL
261,ORBS
262,VAMPIRE_BLOOD
263,NIL
264,NIL
265,ORBS
266,VAMPIRE_BLOOD
267,ORBS
268,VAMPIRE_BLOOD
269,ORBS
270,UNICORN_HORNS
271,ORBS
272,ELVEN_WINE
273,NIL
274,NIL
275,NIL
276,NIL
277,NIL
278,NIL
279,ORBS
280,UNICORN_HORNS
281,ORBS
282,ELVEN_WINE
283,NIL
284,NIL
285,NIL
286,NIL
287,NIL
288,NIL
289,NIL
290,NIL
291,NIL
292,NIL
293,NIL
294,NIL
295,ORBS
296,ELVEN_WINE
297,NIL
298,NIL
299,ORBS
300,UNICORN_HORNS
301,NIL
302,NIL
303,NIL
304,NIL
305,NIL
306,NIL
307,NIL
308,NIL
309,ORBS
310,ELVEN_WINE
311,ORBS
312,ELVEN_WINE
313,NIL
314,NIL
315,NIL
316,NIL
317,NIL
318,NIL
319,NIL
320,NIL
321,NIL
322,NIL
323,NIL
